Education,Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,Deals_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Web_Visits,Cmp3,Cmp4,Cmp5,Cmp1,Cmp2,Complain,Response,Age,Seniority,Total_Children,km_model,hac_model,Tot_Amt_Products,Total_Promotions
Postgraduate,Couple,84169.0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,32,326,0,1,0,1919,2
Graduate,Couple,54058.0,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,38,390,1,1,0,662,0
Undergraduate,Couple,24683.0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,24,113,1,3,3,41,0
Graduate,Alone,85620.0,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,50,173,0,1,0,1600,0
Graduate,Couple,47850.0,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,34,208,1,3,3,134,0
Graduate,Couple,19514.0,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,46,154,2,2,3,69,1
Postgraduate,Couple,27159.0,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,41,92,2,2,1,21,0
Undergraduate,Alone,39548.0,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,51,90,2,2,1,54,0
Graduate,Alone,21474.0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,25,82,1,3,3,91,1
Postgraduate,Alone,60504.0,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,43,142,1,0,2,526,0
Graduate,Couple,22419.0,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,51,437,0,3,2,162,0
Postgraduate,Couple,81698.0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,65,235,0,1,0,1008,0
Graduate,Couple,43462.0,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,62,655,2,0,1,240,0
Postgraduate,Alone,54880.0,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,36,485,1,1,0,795,0
Graduate,Couple,79908.0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,32,450,0,1,0,1772,1
Undergraduate,Couple,15315.0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,44,330,0,3,3,64,0
Graduate,Couple,87771.0,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,55,403,1,1,0,1957,4
Graduate,Couple,33039.0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,36,293,1,3,3,78,0
Graduate,Alone,81741.0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,34,378,0,1,0,1572,0
Postgraduate,Couple,71499.0,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,43,369,1,1,0,795,0
Undergraduate,Couple,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,44,165,1,1,0,889,0
Postgraduate,Alone,48799.0,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,51,236,1,0,0,331,0
Postgraduate,Couple,52157.0,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,64,22,1,0,1,265,0
Graduate,Alone,66565.0,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,52,571,1,0,2,1065,0
Postgraduate,Couple,29298.0,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,63,295,2,2,1,11,0
Graduate,Alone,47691.0,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,35,359,1,2,3,21,0
Graduate,Couple,38200.0,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,44,569,2,2,1,17,0
Graduate,Couple,44989.0,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,40,655,1,0,2,369,0
Postgraduate,Couple,38443.0,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,46,153,2,2,1,38,0
Undergraduate,Alone,38593.0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,36,289,1,3,2,177,0
Postgraduate,Couple,64413.0,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,44,332,1,0,2,279,0
Postgraduate,Couple,36959.0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,33,270,1,2,3,62,0
Postgraduate,Couple,61996.0,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,37,514,1,0,2,1230,3
Graduate,Couple,51287.0,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,46,89,2,2,1,182,0
Graduate,Couple,13260.0,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,44,310,2,2,1,49,0
Postgraduate,Couple,47472.0,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,48,286,2,2,1,75,0
Postgraduate,Couple,54603.0,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,58,355,2,0,1,227,0
Postgraduate,Couple,45207.0,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,40,596,2,2,1,215,1
Graduate,Couple,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,468,1,0,2,444,0
Undergraduate,Couple,47821.0,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,47,252,2,2,1,47,0
Postgraduate,Couple,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,63,440,0,3,1,143,0
Graduate,Couple,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,31,87,1,2,3,55,0
Undergraduate,Couple,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,43,72,2,2,1,63,0
Graduate,Alone,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,59,644,0,1,0,1867,3
Postgraduate,Couple,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,53,288,1,1,0,611,0
Graduate,Couple,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,59,43,1,0,2,473,1
Graduate,Couple,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,55,313,0,3,3,55,0
Postgraduate,Alone,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,30,625,1,3,3,81,0
Postgraduate,Couple,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,39,564,0,1,0,2086,2
Postgraduate,Alone,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,49,231,0,1,0,1478,0
Graduate,Couple,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,37,150,1,3,3,49,0
Postgraduate,Couple,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,42,291,0,1,0,382,0
Postgraduate,Couple,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,39,283,1,3,3,69,0
Graduate,Alone,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,45,611,1,3,3,67,0
Postgraduate,Couple,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,45,253,2,2,1,30,0
Undergraduate,Couple,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,36,390,1,3,3,63,0
Graduate,Couple,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,33,681,1,3,3,79,0
Graduate,Alone,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,53,493,1,2,3,42,0
Graduate,Couple,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,54,667,1,0,2,819,0
Graduate,Alone,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,59,285,0,1,0,1151,0
Postgraduate,Couple,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,66,567,2,0,2,594,0
Postgraduate,Couple,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,48,519,2,2,1,129,0
Postgraduate,Alone,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,28,547,1,0,3,213,0
Graduate,Alone,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,138,1,2,3,67,0
Graduate,Alone,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,58,475,3,2,1,28,0
Undergraduate,Couple,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,39,611,1,3,3,45,0
Graduate,Couple,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,49,53,0,1,0,1193,1
Postgraduate,Alone,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,45,314,0,0,1,268,0
Postgraduate,Alone,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,70,346,0,1,1,266,0
Undergraduate,Couple,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,41,565,1,3,3,37,0
Graduate,Couple,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,47,244,3,2,1,37,0
Postgraduate,Alone,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,45,597,0,1,0,882,0
Graduate,Couple,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,40,338,2,0,2,373,0
Postgraduate,Alone,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,49,419,3,2,1,35,0
Postgraduate,Couple,162397.0,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,38,391,2,2,1,107,0
Graduate,Alone,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,36,468,2,2,1,42,0
Postgraduate,Couple,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,54,681,1,0,2,326,0
Postgraduate,Couple,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,53,353,1,0,2,404,0
Graduate,Alone,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,43,350,0,3,2,95,0
Graduate,Alone,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,65,111,0,1,0,939,2
Undergraduate,Alone,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,36,183,1,3,3,33,0
Undergraduate,Couple,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,59,391,0,1,0,981,1
Graduate,Couple,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,38,525,1,3,3,36,0
Graduate,Alone,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,39,391,1,1,0,1237,0
Graduate,Couple,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,54,646,1,0,0,1825,0
Postgraduate,Alone,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,37,661,2,3,3,103,0
Graduate,Alone,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,37,558,1,3,2,191,0
Postgraduate,Couple,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,44,222,1,1,0,1586,0
Postgraduate,Couple,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,56,16,0,1,0,963,0
Undergraduate,Couple,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,44,165,1,1,0,889,0
Undergraduate,Alone,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,54,134,0,3,3,93,1
Graduate,Alone,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,41,437,0,1,0,1587,0
Graduate,Alone,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,52,111,3,2,1,16,0
Graduate,Alone,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,62,390,0,1,0,1375,0
Graduate,Couple,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,52,537,1,1,0,393,0
Postgraduate,Alone,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,64,639,1,0,2,1477,0
Graduate,Couple,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,43,235,1,1,0,1179,1
Graduate,Couple,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,54,632,1,1,0,1005,0
Postgraduate,Couple,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,66,47,0,1,0,1348,0
Postgraduate,Alone,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,55,546,1,0,2,1307,0
Graduate,Alone,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,50,418,1,0,2,486,1
Postgraduate,Couple,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,67,476,0,1,0,2252,2
Postgraduate,Couple,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,43,315,2,0,1,235,0
Graduate,Couple,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,44,524,0,1,0,1724,2
Postgraduate,Alone,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,44,198,1,0,0,235,0
Postgraduate,Couple,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,37,37,1,1,0,1092,0
Graduate,Couple,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,56,286,1,0,2,599,0
Postgraduate,Alone,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,54,132,0,1,0,2008,1
Graduate,Couple,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,29,671,1,3,3,48,0
Graduate,Couple,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,40,686,1,0,0,1174,0
Postgraduate,Couple,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,64,77,1,2,1,67,0
Graduate,Alone,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,59,695,1,0,2,365,0
Graduate,Alone,153924.0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39,142,0,2,1,6,0
Graduate,Couple,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,61,176,1,2,1,165,0
Undergraduate,Couple,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,56,645,0,3,2,210,0
Postgraduate,Couple,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,67,302,1,1,0,1095,0
Postgraduate,Alone,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,48,251,3,0,1,223,1
Graduate,Couple,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,51,569,1,0,2,597,0
Graduate,Couple,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,29,227,1,3,3,22,0
Graduate,Alone,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,39,186,1,1,0,1064,0
Undergraduate,Couple,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,34,660,0,3,3,74,0
Postgraduate,Couple,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,58,544,0,3,3,26,0
Graduate,Couple,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,55,548,0,3,3,60,0
Postgraduate,Couple,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,40,409,1,2,3,20,0
Undergraduate,Alone,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,27,277,1,3,3,59,0
Postgraduate,Couple,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,46,416,1,2,3,34,0
Undergraduate,Couple,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,43,234,2,0,1,198,0
Postgraduate,Couple,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,50,335,1,1,0,1048,0
Postgraduate,Alone,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,52,233,2,0,2,574,0
Graduate,Alone,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,44,655,1,1,0,1029,0
Graduate,Couple,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,34,195,1,1,0,670,0
Postgraduate,Alone,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,39,575,1,0,2,990,0
Graduate,Couple,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,40,38,2,2,1,11,0
Postgraduate,Couple,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,51,607,1,0,2,1241,1
Graduate,Alone,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,35,178,0,1,0,576,0
Undergraduate,Couple,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,29,378,1,3,3,172,1
Postgraduate,Alone,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,34,188,0,1,0,664,0
Graduate,Alone,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,51,254,1,0,2,928,0
Graduate,Alone,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,47,668,0,1,0,2074,0
Undergraduate,Couple,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,32,339,0,1,2,467,0
Graduate,Couple,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,59,248,1,0,1,257,0
Graduate,Couple,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,47,192,0,1,0,1146,0
Postgraduate,Alone,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,38,479,1,1,0,689,0
Postgraduate,Alone,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,42,655,0,1,0,2114,0
Postgraduate,Couple,160803.0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,32,694,0,1,1,1717,0
Postgraduate,Couple,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,25,44,0,1,0,1346,2
Postgraduate,Couple,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,45,272,0,1,0,1044,0
Postgraduate,Alone,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,54,633,1,0,2,493,1
Graduate,Alone,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,44,308,0,1,0,957,0
Postgraduate,Couple,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,56,352,1,0,0,270,0
Undergraduate,Couple,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,62,239,0,3,3,29,0
Postgraduate,Alone,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,65,396,2,2,1,121,0
Postgraduate,Couple,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,53,338,2,2,1,126,0
Graduate,Alone,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,19,95,0,3,3,23,0
Postgraduate,Alone,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,65,447,2,2,1,57,0
Graduate,Alone,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,53,238,0,1,0,636,0
Graduate,Couple,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,54,81,0,1,0,1004,1
Graduate,Alone,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,41,285,1,0,0,734,0
Graduate,Couple,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,36,109,2,0,1,614,0
Graduate,Alone,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,36,138,1,0,2,1453,1
Postgraduate,Alone,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,26,61,0,1,0,1621,3
Postgraduate,Alone,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,46,185,1,0,1,187,0
Graduate,Couple,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,28,535,1,1,0,1443,2
Postgraduate,Alone,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,44,2,1,2,3,57,0
Graduate,Alone,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,63,445,1,0,2,637,0
Postgraduate,Couple,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,66,220,1,0,2,948,1
Postgraduate,Couple,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,43,535,1,3,3,59,1
Graduate,Couple,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,28,352,1,3,3,18,0
Postgraduate,Alone,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,49,616,1,0,0,903,0
Graduate,Alone,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,39,494,1,3,3,112,0
Graduate,Couple,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,61,411,0,1,0,596,0
Graduate,Couple,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,32,326,1,0,3,233,0
Postgraduate,Couple,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,39,569,0,1,0,1511,0
Undergraduate,Alone,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,54,644,0,1,0,1152,1
Graduate,Couple,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,36,503,1,3,3,48,0
Graduate,Alone,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,44,455,1,0,2,1185,0
Graduate,Alone,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,56,92,2,2,1,21,0
Postgraduate,Couple,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,49,557,1,0,2,965,0
Graduate,Couple,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,60,423,0,1,2,869,0
Postgraduate,Couple,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,30,37,1,2,3,16,0
Graduate,Couple,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,49,501,0,1,0,1947,0
Graduate,Couple,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,38,697,1,3,3,71,1
Graduate,Couple,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,48,21,1,2,3,65,0
Graduate,Couple,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,59,218,0,1,0,1380,1
Postgraduate,Alone,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,38,155,0,1,0,1027,0
Postgraduate,Couple,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,49,261,3,0,2,411,0
Graduate,Couple,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,23,440,0,1,0,836,1
Postgraduate,Alone,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,65,275,2,2,1,11,0
Postgraduate,Couple,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,61,691,2,0,2,480,0
Graduate,Couple,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,382,2,0,2,606,0
Postgraduate,Alone,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,66,256,3,0,1,284,0
Graduate,Alone,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,41,263,2,0,2,1472,3
Graduate,Couple,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,65,61,0,1,0,1677,3
Graduate,Couple,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,41,457,1,1,0,1335,0
Postgraduate,Couple,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,62,26,1,1,0,334,0
Undergraduate,Couple,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,25,468,1,3,3,18,0
Graduate,Couple,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,45,689,1,1,0,1338,0
Postgraduate,Alone,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,61,463,1,0,2,1099,0
Postgraduate,Couple,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,58,480,2,2,1,97,0
Postgraduate,Alone,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,64,179,3,2,1,63,0
Undergraduate,Couple,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,36,332,1,3,3,109,0
Graduate,Couple,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,50,155,0,1,0,902,1
Graduate,Couple,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,62,413,0,1,0,1574,1
Undergraduate,Couple,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0,39,202,1,3,3,38,0
Graduate,Alone,71163.0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,19,112,0,1,0,960,0
